state	county	dem_percent_12	dem_percent_16
Texas	Smith	26.954435	26.307097
Texas	Sterling	6.275304	11.058452
Texas	Sutton	24.781733	22.10452
Texas	Titus	29.907386	27.571929
Texas	Tom Green	25.310458	23.838977
Texas	Trinity	25.886127	19.281537
Texas	Wilson	28.020924	24.650062
Utah	Grand	43.721519	43.238473
Utah	Summit	46.157365	50.884163
Vermont	Rutland	59.729456	46.03464
Virginia	Amelia	36.008677	30.227273
Virginia	Amherst	39.412158	32.846194
Virginia	Essex	53.145374	47.004438
Virginia	Greensville	63.6419	58.629383
Virginia	Henry	41.329167	34.008131
Virginia	Highland	32.484076	26.671459
Virginia	James City	43.35354	44.252195
Virginia	Mecklenburg	45.904358	42.054199
Virginia	Middlesex	38.980263	35.03407
Virginia	Stafford	44.867372	42.327176
Virginia	Surry	59.795729	53.736991
Virginia	Warren	38.639358	28.780624
Virginia	Washington	27.606117	21.484118
Virginia	Lexington	55.303312	61.419878
Virginia	Lynchburg	43.755487	41.467859
Washington	Douglas	34.573685	31.641253
Washington	Ferry	37.616279	30.49153
Washington	Mason	52.289711	42.720764
Washington	San Juan	67.25505	66.567663
West Virginia	Barbour	30.689116	20.185002
West Virginia	Braxton	41.590341	25.952849
West Virginia	Calhoun	37.063888	17.424532
West Virginia	Harrison	37.220331	27.517883
West Virginia	Nicholas	30.324417	19.386787
West Virginia	Ohio	37.887332	30.622143
West Virginia	Raleigh	26.844497	21.753663
West Virginia	Tucker	28.04334	21.611511
West Virginia	Wayne	35.335005	22.111711
Wisconsin	Ashland	64.488772	52.659111
Wisconsin	Barron	47.990481	34.796626
Wisconsin	Calumet	43.485995	36.195122
Wisconsin	Chippewa	49.259666	37.660404
Wisconsin	Columbia	56.226675	45.433476
Wisconsin	Florence	36.304762	25.065864
Wisconsin	Jefferson	45.522911	38.383628
Wisconsin	Juneau	52.777543	34.717013
Wisconsin	Kewaunee	46.688412	33.677263
Wisconsin	Lafayette	57.042254	42.913078
Wisconsin	Lincoln	49.704259	36.515708
Wisconsin	Ozaukee	34.324668	36.989894
Wisconsin	Portage	56.11765	48.111492
Wyoming	Albany	45.754601	40.38687
Wyoming	Laramie	36.185293	28.248188
Wyoming	Lincoln	14.933859	12.450704
Wyoming	Uinta	19.065464	14.191263
Wyoming	Washakie	20.131846	13.94861
Alaska	District 3	33.514582	16.301064
Alaska	District 18	61.284271	52.810051
Alaska	District 24	42.91398	39.405286
